entry_time_cst,exit_time_cst,symbol,direction,entry_price,exit_price,quantity,pnl_usdt,outcome,duration_minutes
2026-05-04 15:17:54 CST,2026-05-07 16:00:11 CST,SKYAIUSDT,LONG,0.57035717,0.57646,17.0,0.0,BREAKEVEN,4362.3
2026-05-04 15:17:54 CST,2026-05-07 20:45:04 CST,SKYAIUSDT,LONG,0.5697377,0.5594,13.0,-0.003,LOSS,4647.18
2026-05-04 15:17:54 CST,2026-05-07 21:22:41 CST,SKYAIUSDT,LONG,0.5697377,0.56973,9.0,0.0,BREAKEVEN,4684.78
2026-05-04 15:17:54 CST,2026-05-07 21:57:40 CST,SKYAIUSDT,LONG,0.58379108,0.6346,13.0,0.0,BREAKEVEN,4719.78
2026-05-04 15:17:58 CST,2026-05-05 19:15:11 CST,MAGMAUSDT,LONG,0.24319,0.24562,22.0,0.0,BREAKEVEN,1677.21
2026-05-04 15:17:58 CST,2026-05-05 21:32:40 CST,MAGMAUSDT,LONG,0.24511098,0.25131,20.0,0.0,BREAKEVEN,1814.69
2026-05-04 15:17:58 CST,2026-05-06 04:52:35 CST,MAGMAUSDT,LONG,0.24678433,0.24201,40.0,-0.104,LOSS,2254.61
2026-05-04 15:17:58 CST,2026-05-06 05:05:15 CST,MAGMAUSDT,LONG,0.24464917,0.24062,22.0,-0.0011,LOSS,2267.29
2026-05-04 15:17:58 CST,2026-05-06 07:20:11 CST,MAGMAUSDT,LONG,0.24464917,0.23861,41.0,0.0,BREAKEVEN,2402.21
2026-05-06 13:22:32 CST,2026-05-06 13:32:41 CST,MAGMAUSDT,LONG,0.23242,0.23333,25.0,0.0,BREAKEVEN,10.15
2026-05-06 13:22:32 CST,2026-05-06 17:47:41 CST,MAGMAUSDT,LONG,0.23318829,0.23336,42.0,0.0,BREAKEVEN,265.16
2026-05-06 13:22:32 CST,2026-05-06 19:35:11 CST,MAGMAUSDT,LONG,0.23383541,0.23513,42.0,0.0,BREAKEVEN,372.66
2026-05-06 13:22:32 CST,2026-05-06 22:35:12 CST,MAGMAUSDT,LONG,0.23536645,0.23567,41.0,0.0,BREAKEVEN,552.67
2026-05-06 22:35:12 CST,2026-05-07 00:20:12 CST,MAGMAUSDT,LONG,0.23948907,0.24088,27.0,0.0,BREAKEVEN,105.0
2026-05-06 22:35:12 CST,2026-05-07 02:20:15 CST,MAGMAUSDT,LONG,0.24407965,0.24926,40.0,0.0,BREAKEVEN,225.05
2026-05-06 22:35:12 CST,2026-05-07 04:32:43 CST,MAGMAUSDT,LONG,0.24932649,0.25025,21.0,0.0,BREAKEVEN,357.52
2026-05-06 22:35:12 CST,2026-05-07 06:25:12 CST,MAGMAUSDT,LONG,0.25330355,0.26253,20.0,0.0,BREAKEVEN,470.0
2026-05-06 22:35:12 CST,2026-05-07 14:45:07 CST,MAGMAUSDT,LONG,0.24672331,0.23886,24.0,-0.083,LOSS,969.92
2026-05-06 22:35:12 CST,2026-05-07 16:32:36 CST,MAGMAUSDT,LONG,0.2420325,0.23714,42.0,-0.0038,LOSS,1077.41
2026-05-06 22:35:12 CST,2026-05-07 18:22:37 CST,MAGMAUSDT,LONG,0.23889044,0.234,23.0,-0.0385,LOSS,1187.41
2026-05-06 22:35:12 CST,2026-05-07 18:22:37 CST,MAGMAUSDT,LONG,0.23889044,0.23394,19.0,-0.0329,LOSS,1187.41
2026-05-06 22:35:12 CST,2026-05-07 20:10:06 CST,MAGMAUSDT,LONG,0.23650191,0.22974,30.0,-0.1258,LOSS,1294.89
2026-05-06 22:35:12 CST,2026-05-07 20:10:06 CST,MAGMAUSDT,LONG,0.23650191,0.22971,10.0,-0.0422,LOSS,1294.89
2026-05-06 22:35:12 CST,2026-05-07 21:30:16 CST,MAGMAUSDT,LONG,0.23270571,0.21766,31.0,-0.3032,LOSS,1375.06
2026-05-06 22:35:12 CST,2026-05-08 01:29:00 CST,MAGMAUSDT,LONG,0.2223295,0.23389,46.0,0.978,WIN,1613.8
2026-05-06 22:35:12 CST,2026-05-08 01:45:13 CST,MAGMAUSDT,LONG,0.2223295,0.23703,30.0,0.0,BREAKEVEN,1630.01
2026-05-06 22:35:12 CST,2026-05-08 09:42:41 CST,MAGMAUSDT,LONG,0.22914613,0.23368,24.0,0.0,BREAKEVEN,2107.49
2026-05-04 15:18:01 CST,2026-05-04 16:27:38 CST,BRUSDT,LONG,0.20540896,0.20847,25.0,0.0,BREAKEVEN,69.62
2026-05-04 15:18:01 CST,2026-05-04 19:52:39 CST,BRUSDT,LONG,0.20714388,0.213,24.0,0.0,BREAKEVEN,274.64
2026-05-04 15:18:01 CST,2026-05-05 01:40:10 CST,BRUSDT,LONG,0.21025194,0.20768,14.0,0.0,BREAKEVEN,622.15
2026-05-04 15:18:01 CST,2026-05-05 01:40:10 CST,BRUSDT,LONG,0.21025194,0.20767,25.0,0.0,BREAKEVEN,622.15
2026-05-04 15:18:01 CST,2026-05-05 01:40:10 CST,BRUSDT,LONG,0.21025194,0.20766,1.0,0.0,BREAKEVEN,622.15
2026-05-04 15:18:01 CST,2026-05-05 04:17:39 CST,BRUSDT,LONG,0.20905866,0.20973,30.0,0.0,BREAKEVEN,779.65
2026-05-04 15:18:01 CST,2026-05-05 06:42:39 CST,BRUSDT,LONG,0.21060325,0.21327,27.0,0.0,BREAKEVEN,924.65
2026-05-04 15:18:01 CST,2026-05-05 10:27:36 CST,BRUSDT,LONG,0.197964,0.18594,28.0,-0.2374,LOSS,1149.59
2026-05-04 15:18:01 CST,2026-05-05 10:27:36 CST,BRUSDT,LONG,0.197964,0.18594,1.0,-0.0085,LOSS,1149.59
