symbol,timestamp,datetime,direction,move_pct,low,high,rsi,bb_pct_b,zscore,volume_ratio,funding_rate,sma_slope_pct
ILVUSDT,1775826000000,2026-04-10 14:00,UP,17.233697853381933,4.938,5.789,87.24637681159415,0.997367344163968,1.9894693766558706,2.505181707692055,5e-05,0.4665510673615541
ILVUSDT,1775829600000,2026-04-10 15:00,DOWN,12.550763875459293,5.171,5.82,72.33250620347394,0.839790746445221,1.359162985780884,1.6602929206692538,5e-05,0.6929496815757209
SUPERUSDT,1774483200000,2026-03-26 01:00,UP,15.996503496503506,0.1144,0.1327,90.12345679012337,1.4917818785148573,3.967127514059438,222.17303673827783,-4.284e-05,0.05138684619702728
SUPERUSDT,1775473200000,2026-04-06 12:00,UP,12.922465208747527,0.1006,0.1136,74.99999999999987,0.8300295719745326,1.320118287898131,5.324331806964465,-4.284e-05,0.08003223503437297
SUPERUSDT,1775476800000,2026-04-06 13:00,UP,18.671799807507217,0.1039,0.1233,62.08530805687204,0.5938098313272064,0.375239325308826,0.9530419885752197,-4.284e-05,0.2167575799762768
SUPERUSDT,1775480400000,2026-04-06 14:00,UP,18.663194444444436,0.1152,0.1367,66.6666666666667,0.8129996879210806,1.2519987516843223,1.041710738309163,-4.284e-05,0.35618137753306195
SUPERUSDT,1775545200000,2026-04-07 08:00,UP,14.990859232175502,0.1094,0.1258,50.0,0.5663431115542654,0.2653724462170603,0.3444378438667145,-4.284e-05,-0.01227428482581781
SUPERUSDT,1776661200000,2026-04-20 06:00,UP,11.147274206672094,0.1229,0.1366,66.26506024096378,1.1658073736588765,2.6632294946354995,4.146229072408729,-4.284e-05,0.08104008104008259
SUPERUSDT,1776668400000,2026-04-20 08:00,UP,12.017479970866706,0.1373,0.1538,66.66666666666666,0.8138447469035515,1.2553789876142063,0.7989670610573364,-4.284e-05,0.2489875033487311
USTCUSDT,1775246400000,2026-04-03 21:00,UP,19.451871657754022,0.004488,0.005361,81.64556962025294,1.3386392073131927,3.3545568292527768,18.058883974607454,-4.934e-05,0.01857801441394866
USTCUSDT,1775397600000,2026-04-05 15:00,UP,16.574074074074066,0.00432,0.005036,64.28571428571453,1.022914289706521,2.091657158826044,0.30258123094269673,-4.934e-05,-0.011437690587408645
USTCUSDT,1775844000000,2026-04-10 19:00,UP,13.68398994132439,0.004772,0.005425,28.34645669291315,0.14634215530395825,-1.4146313787841667,1.3086776392252941,-4.934e-05,-0.04184683431052655
ONGUSDT,1774828800000,2026-03-30 01:00,UP,12.64470169189671,0.05615,0.06325,51.61290322580657,0.2519237828901648,-0.9923048684393431,31.90872131468737,5e-05,-0.00573258318388261
ONGUSDT,1775188800000,2026-04-03 05:00,UP,17.38343141693074,0.06627,0.07779,94.15204678362558,1.0809093726043537,2.3236374904174166,1.9796179677942947,5e-05,0.0034568310823113037
ONGUSDT,1775192400000,2026-04-03 06:00,UP,16.179048132668193,0.07417,0.08617,84.39095550692932,0.8158926102764051,1.263570441105621,2.3868904923915233,5e-05,0.2741322466152093
ONGUSDT,1775196000000,2026-04-03 07:00,UP,10.556484356341057,0.08374,0.09258,81.06370543541786,0.9514636900369423,1.8058547601477686,2.143901722893579,5e-05,0.5311529762155512
ONGUSDT,1775203200000,2026-04-03 09:00,UP,10.565252571956993,0.08651,0.09565,41.53498871331827,0.2508734219695599,-0.9965063121217599,1.1824447591353189,5e-05,0.5590472969479926
ONGUSDT,1775206800000,2026-04-03 10:00,UP,10.405269621525076,0.08957,0.09889,70.29629629629629,0.7606504670322323,1.0426018681289295,0.9686330426987458,5e-05,0.4395982811998279
